taxid	species	rna_count	illumina_rna_count	cds_link
230663	Solanum corneliomulleri	7	7	
57926	Potentilla anserina	7	7	
47775	Astrephomene gubernaculifera	7	7	
315349	Solanum sitiens	7	7	
2009235	Picochlorum costavermella	7	7	
185493	Ilex asprella	7	7	
2018007	Vitis riparia x Vitis cinerea	7	7	
2182728	Salix brachista	7	7	
1088818	Apostasia shenzhenica	7	7	
103352	Vitis rupestris	7	7	
429701	Handroanthus impetiginosus	7	7	
709039	Artocarpus camansi	7	7	
34277	Gossypium tomentosum	7	7	
4537	Oryza punctata	7	7	
4500	Avena longiglumis	19	6	
29737	Casuarina cunninghamiana	8	6	
63442	Physaria fendleri	7	6	
59895	Cynara cardunculus var. scolymus	7	6	
147471	unclassified Poaceae	6	6	
56931	Lunularia cruciata	6	6	
455430	Hibiscus mutabilis	6	6	
1486918	Ostreococcus mediterraneus	6	6	
65351	Lepidium campestre	6	6	
3165	Tetraselmis striata	6	6	
176857	Carpinus fangiana	6	6	
103999	Codonopsis lanceolata	6	6	
154437	Pachycereus pringlei	6	6	
108875	Herrania umbratica	6	6	
882375	Chenopodium pallidicaule	6	6	
434248	Chenopodium suecicum	6	6	
183838	Eucalyptus melliodora	6	6	
39358	Prunella vulgaris	7	5	
215227	Papaver bracteatum	6	5	
28980	Sequoia sempervirens	6	5	
4002	Buxus sempervirens	5	5	
48773	Primulina tabacum	5	5	
512563	Macadamia tetraphylla	5	5	
1417620	Brassica rapa x Raphanus sativus	5	5	
323111	Petunia secreta	5	5	
34329	Corymbia citriodora	5	5	
347648	Linum bienne	5	5	
43853	Toxicodendron radicans	5	5	
1000413	Acer yangbiense	5	5	
98583	Rhodomyrtus tomentosa	5	5	
56032	Fraxinus quadrangulata	5	5	
63057	Trema orientale	5	5	
159386	Nothapodytes nimmoniana	5	5	
345537	Euclidium syriacum	5	5	
171969	Carnegiea gigantea	5	5	
1010633	Digitaria exilis	5	5	
36894	Pyramimonas parkeae	5	5	
3942	Oenothera biennis	5	5	
248361	Morus indica	5	5	
61143	Ceriops tagal	9	4	
34280	Gossypium longicalyx	8	4	
66383	Ficus erecta	5	4	
59211	Coffea humblotiana	4	4	
137693	Polygonum aviculare	4	4	
3752	Malus sylvestris	4	4	
1737510	Volvox reticuliferus	4	4	
168488	Buddleja alternifolia	4	4	
185774	Jacaranda mimosifolia	4	4	
1541731	Eucalyptus sideroxylon	4	4	
38874	Fraxinus ornus	4	4	
490841	Fraxinus gooddingii	4	4	
